Name,ProjectedPoints
KC QB1,19.4
KC RB1,19.2
KC RB2,10.8
KC RB3,12.8
KC WR1,16.3
KC WR2,11.9
KC WR3,7.5
KC WR4,15.6
KC TE1,11.7
KC TE2,12.2
KC DST1,14.7
BUF QB1,20.3
BUF RB1,12.2
BUF RB2,13.4
BUF RB3,18.3
BUF WR1,10.8
BUF WR2,11.0
BUF WR3,18.7
BUF WR4,12.1
BUF TE1,12.0
BUF TE2,11.5
BUF DST1,14.0
SF QB1,21.6
SF RB1,14.8
SF RB2,19.5
SF RB3,19.7
SF WR1,16.9
SF WR2,16.9
SF WR3,15.6
SF WR4,24.9
SF TE1,5.7
SF TE2,10.1
SF DST1,7.6
DAL QB1,20.2
DAL RB1,11.3
DAL RB2,13.8
DAL RB3,22.0
DAL WR1,13.8
DAL WR2,22.2
DAL WR3,13.5
DAL WR4,16.9
DAL TE1,5.7
DAL TE2,11.9
DAL DST1,11.6
MIA QB1,18.4
MIA RB1,16.3
MIA RB2,25.5
MIA RB3,19.8
MIA WR1,21.6
MIA WR2,17.4
MIA WR3,9.7
MIA WR4,12.5
MIA TE1,4.5
MIA TE2,10.2
MIA DST1,9.0
PHI QB1,18.0
PHI RB1,21.8
PHI RB2,20.6
PHI RB3,14.2
PHI WR1,12.3
PHI WR2,19.2
PHI WR3,25.8
PHI WR4,13.5
PHI TE1,9.2
PHI TE2,14.7
PHI DST1,6.6
CIN QB1,18.0
CIN RB1,21.1
CIN RB2,20.5
CIN RB3,13.0
CIN WR1,14.1
CIN WR2,21.7
CIN WR3,10.9
CIN WR4,14.7
CIN TE1,16.5
CIN TE2,7.3
CIN DST1,14.7
BAL QB1,11.6
BAL RB1,18.8
BAL RB2,24.1
BAL RB3,12.2
BAL WR1,18.2
BAL WR2,8.4
BAL WR3,21.3
BAL WR4,13.9
BAL TE1,11.5
BAL TE2,16.1
BAL DST1,9.7
