Position,Name,ID,Salary,GameInfo,TeamAbbrev,AvgPointsPerGame
QB,KC QB1,30000001,8000,BUF@KC 09/08/2024 01:00PM ET,KC,18.5
RB,KC RB1,30000002,8900,BUF@KC 09/08/2024 01:00PM ET,KC,20.9
RB,KC RB2,30000003,5600,BUF@KC 09/08/2024 01:00PM ET,KC,11.8
RB,KC RB3,30000004,4800,BUF@KC 09/08/2024 01:00PM ET,KC,13.1
WR,KC WR1,30000005,7000,BUF@KC 09/08/2024 01:00PM ET,KC,15.0
WR,KC WR2,30000006,6300,BUF@KC 09/08/2024 01:00PM ET,KC,12.9
WR,KC WR3,30000007,4100,BUF@KC 09/08/2024 01:00PM ET,KC,8.6
WR,KC WR4,30000008,6800,BUF@KC 09/08/2024 01:00PM ET,KC,17.6
TE,KC TE1,30000009,4000,BUF@KC 09/08/2024 01:00PM ET,KC,10.1
TE,KC TE2,30000010,6200,BUF@KC 09/08/2024 01:00PM ET,KC,13.2
DST,KC DST1,30000011,3600,BUF@KC 09/08/2024 01:00PM ET,KC,11.3
QB,BUF QB1,30000012,6000,BUF@KC 09/08/2024 01:00PM ET,BUF,17.2
RB,BUF RB1,30000013,5200,BUF@KC 09/08/2024 01:00PM ET,BUF,14.2
RB,BUF RB2,30000014,6300,BUF@KC 09/08/2024 01:00PM ET,BUF,14.4
RB,BUF RB3,30000015,5500,BUF@KC 09/08/2024 01:00PM ET,BUF,16.5
WR,BUF WR1,30000016,5700,BUF@KC 09/08/2024 01:00PM ET,BUF,11.9
WR,BUF WR2,30000017,6000,BUF@KC 09/08/2024 01:00PM ET,BUF,12.6
WR,BUF WR3,30000018,5800,BUF@KC 09/08/2024 01:00PM ET,BUF,15.1
WR,BUF WR4,30000019,3800,BUF@KC 09/08/2024 01:00PM ET,BUF,10.9
TE,BUF TE1,30000020,6200,BUF@KC 09/08/2024 01:00PM ET,BUF,11.4
TE,BUF TE2,30000021,5200,BUF@KC 09/08/2024 01:00PM ET,BUF,8.9
DST,BUF DST1,30000022,3100,BUF@KC 09/08/2024 01:00PM ET,BUF,11.3
QB,SF QB1,30000023,7900,DAL@SF 09/08/2024 01:00PM ET,SF,22.9
RB,SF RB1,30000024,6500,DAL@SF 09/08/2024 01:00PM ET,SF,16.7
RB,SF RB2,30000025,8700,DAL@SF 09/08/2024 01:00PM ET,SF,19.2
RB,SF RB3,30000026,8400,DAL@SF 09/08/2024 01:00PM ET,SF,19.4
WR,SF WR1,30000027,5400,DAL@SF 09/08/2024 01:00PM ET,SF,16.4
WR,SF WR2,30000028,5000,DAL@SF 09/08/2024 01:00PM ET,SF,14.7
WR,SF WR3,30000029,6000,DAL@SF 09/08/2024 01:00PM ET,SF,13.7
WR,SF WR4,30000030,7600,DAL@SF 09/08/2024 01:00PM ET,SF,21.0
TE,SF TE1,30000031,3800,DAL@SF 09/08/2024 01:00PM ET,SF,7.6
TE,SF TE2,30000032,4100,DAL@SF 09/08/2024 01:00PM ET,SF,10.0
DST,SF DST1,30000033,2400,DAL@SF 09/08/2024 01:00PM ET,SF,7.9
QB,DAL QB1,30000034,6500,DAL@SF 09/08/2024 01:00PM ET,DAL,17.1
RB,DAL RB1,30000035,5700,DAL@SF 09/08/2024 01:00PM ET,DAL,12.2
RB,DAL RB2,30000036,6600,DAL@SF 09/08/2024 01:00PM ET,DAL,15.1
RB,DAL RB3,30000037,8200,DAL@SF 09/08/2024 01:00PM ET,DAL,21.6
WR,DAL WR1,30000038,5000,DAL@SF 09/08/2024 01:00PM ET,DAL,13.6
WR,DAL WR2,30000039,8500,DAL@SF 09/08/2024 01:00PM ET,DAL,22.9
WR,DAL WR3,30000040,5000,DAL@SF 09/08/2024 01:00PM ET,DAL,14.4
WR,DAL WR4,30000041,5600,DAL@SF 09/08/2024 01:00PM ET,DAL,13.4
TE,DAL TE1,30000042,3200,DAL@SF 09/08/2024 01:00PM ET,DAL,5.3
TE,DAL TE2,30000043,4800,DAL@SF 09/08/2024 01:00PM ET,DAL,8.8
DST,DAL DST1,30000044,3700,DAL@SF 09/08/2024 01:00PM ET,DAL,10.5
QB,MIA QB1,30000045,8000,PHI@MIA 09/08/2024 01:00PM ET,MIA,20.6
RB,MIA RB1,30000046,5800,PHI@MIA 09/08/2024 01:00PM ET,MIA,12.3
